,tegs,headline,date
385,студенты наука конкурс ,В ЗабГУ проходит конкурс на звание лучшего молодого учёного,15СЕН 2022
386,студенты акция ,Студенты ЗабГУ написали IT-диктант,15СЕН 2022
387,студенты спорт анонс ,Студенты Читы встретятся на состязаниях по смешным видам спорта,15СЕН 2022
388,наука конференции анонс ,Учёные из России и Монголии обсудят аспекты приграничного сотрудничества на...,14СЕН 2022
389,поздравляем анонс ,"Кафедра информатики, вычислительной техники и прикладной математики ЗабГУ отмечает...",14СЕН 2022
390,студенты интересное ,Труд крут! Вступай в Российские студенческие отряды!,14СЕН 2022
391,студенты интересное ,Первокурсники ЗабГУ сыграют во «Что? Где? Когда?»,14СЕН 2022
392,студенты олимпиада ,Открыта регистрация на студенческие Интернет-олимпиады,13СЕН 2022
393,наука конференции объявление ,Образовательная платформа «Юрайт» открыла приём заявок на участие в онлайн-конференции,13СЕН 2022
394,образование объявление ,Инновационный образовательный центр ЗабГУ обучит забайкальцев технологии заполнения...,13СЕН 2022
395,студенты спорт РЦИО ,Фестиваль по адаптивным спортивным играм для читинцев провёл РЦИО ЗабГУ,12СЕН 2022
396,наука ,Мемориальную доску забайкальскому учёному Виктору Кобылянскому установили на...,9СЕН 2022
397,студенты спорт анонс ,Первокурсники ЗабГУ поборются за победу в спартакиаде,9СЕН 2022
398,сотрудничество интересное ,Материалы музейного фонда ЗабГУ будут представлены на выставке в Москве,8СЕН 2022
399,студенты важное ,Студентам ЗабГУ рассказали о правилах проживания в общежитиях и личной безопасности,8СЕН 2022
400,объявление ,Мемориальную доску основателю философской школы Забайкалья Виктору Кобылянскому...,7СЕН 2022
401,наука интересное ,О науке простым языком: вышла вторая серия видеопроекта от преподавателя ЗабГУ,7СЕН 2022
402,студенты объявление ,Представителей ЗабГУ приглашают на «Цифровой прорыв»,6СЕН 2022
403,конференции МинобрРФ ,Продлён приём заявок на конференцию по вопросам взаимодействия институтов буддизма...,6СЕН 2022
404,студенты акция ,Студенты ЗабГУ стали участниками акции «ZаЛес» ,5СЕН 2022
405,интересное акция ,В ЗабГУ написали «Диктант Победы»,5СЕН 2022
406,конференции интересное ,Представители ЗабГУ рассказали о профилактике терроризма и экстремизма в школах,5СЕН 2022
407,важное анонс ,Проект для сохранения исторической правды представят в ЗабГУ ,5СЕН 2022
408,спорт РЦИО ,Представители РЦИО ЗабГУ приняли участие в организации детских соревнований по НСИ,2СЕН 2022
409,сотрудничество интересное ,2ГИС нарисовал поэтажную карту ЗабГУ,2СЕН 2022
410,объявление акция ,ЗабГУ станет площадкой для проведения Диктанта Победы,1СЕН 2022
411,объявление выборы ,ЗабГУ объявляет конкурс на замещение должностей ППС,1СЕН 2022
412,поздравляем ,Поздравление ректора ЗабГУ Сергея Иванова с Днём знаний,1СЕН 2022
413,анонс акция ,ЗабГУ проведёт акцию в память о жертвах теракта в Беслане,31АВГ 2022
414,студенты интересное ,Студенты ЗабГУ приняли участие в организации «Круга благотворителей»,31АВГ 2022
415,наука интересное ,Обновлены библиометрические показатели научных журналов в eLIBRARY,30АВГ 2022
416,поздравляем ,Юбилей празднует почётный работник высшего образования РФ Александра Улзытуева,29АВГ 2022
417,поздравляем ,ЗабГУ поздравляет Сергея Иванова с днём рождения,29АВГ 2022
