,tegs,headline,date
0,объявление выборы ,В ЗабГУ объявлены выборы декана факультета,22ДЕК 2022
1,анонс интересное абитуриенту ,Стартует серия прямых эфиров с представителями факультетов ЗабГУ,6ФЕВ 2023
2,спорт ,19 марта стартовал Межрегиональный турнир по баскетболу среди мужских и женских...,22МАР 2023
3,студенты ,Студентка ЗабГУ была избрана Членом молодежного парламента избирательной комиссии...,22МАР 2023
4,наука ,К 85-летию профессора Алексея Ивановича Трубачева: новый выпуск бесед о науке и...,21МАР 2023
5,РЦИО ,Студенческие организации ЗабГУ представили площадку на Крымской весне 2023,21МАР 2023
6,студенты ,Первокурсники юридического факультета ЗабГУ оказались в открытом судебном заседании...,21МАР 2023
7,студенты сотрудничество ,Открытие Всероссийских учебно-методических сборов специалистов-кинологов внутренних...,20МАР 2023
8,олимпиада анонс ,Студенческая олимпиада по физике,20МАР 2023
9,объявление ,Работодателям факультета строительства и экологии,20МАР 2023
10,объявление ,«ФЕНМиТ: ПроРазвитие»,20МАР 2023
11,сотрудничество анонс ,Научно-практическая конференция «Актуальные вопросы антимонопольного регулирования...,18МАР 2023
12,студенты образование ,Телемост со студентами из Монголии,18МАР 2023
13,,В Забайкалье осуждены участники экстремистской организации АУЕ,16МАР 2023
14,интересное ,"Встреча ""Опоры России"" с китайскими предпринимателями прошла в ЗабГУ",16МАР 2023
15,студенты ,Государственный экзамен проходит на базе Инновационного образовательного центра ЗабГУ,15МАР 2023
16,студенты сотрудничество ,Научно-методическая встреча по наставничеству,15МАР 2023
17,сотрудничество ,Цифровой образовательный ресурс «Тайны Титовской сопки» разработали и апробировали...,15МАР 2023
18,студенты ,Турниры по интеллектуальным играм прошли в ЗабГУ,14МАР 2023
19,образование ,Презентация исторического словаря антропонимии хори-бурят преподавателя ИФФ ,14МАР 2023
20,образование ,111 российских вузов расскажут о работе своих «цифровых кафедр»,13МАР 2023
21,конкурс интересное ,Конкурс Читинской таможни «Леди в погонах»,13МАР 2023
22,творчество ,Встреча с Олегом Петровым прошла в ЗабГУ,10МАР 2023
23,анонс ,Представителей ЗабГУ приглашают принять участие в ФИЭБ,10МАР 2023
24,студенты ,Студенческий волонтерский отряд «Капитал» выиграл грант Ассоциации развития...,9МАР 2023
25,студенты ,Магистрант ЗабГУ стал финалистом всероссийского конкурса,9МАР 2023
26,сотрудничество РЦИО ,Студенты ЗабГУ посетили День открытых дверей в Избирательной комиссии...,7МАР 2023
27,поздравляем ,"Концерт, посвященный празднованию 8 марта",7МАР 2023
28,студенты сотрудничество ,Дни карьеры – на «Ура»,6МАР 2023
29,сотрудничество ,Открыта регистрация на весенний хакатон,6МАР 2023
30,,Ушел из жизни Крылов Дмитрий Анатольевич,6МАР 2023
31,поздравляем ,"Поздравляем Ивана Флегонтовича Суворова - доктора технических наук, профессора...",4МАР 2023
32,сотрудничество ,На этой неделе в ЗабГУ прошло межрегиональное взаимодействие в сфере финансовой...,3МАР 2023
33,образование сотрудничество ,Новая кафедра востоковедения открывается в ЗабГУ!,3МАР 2023
34,студенты ,Научный баттл «Навыки XXI века: учимся решать и создавать вместе»,2МАР 2023
35,спорт РЦИО ,В Забайкальском крае прошел ежегодный Чемпионат по настольной спортивной игре...,2МАР 2023
36,интересное ,Интервью и.о.ректора ЗабГУ Оксаны Мартыненко,2МАР 2023
37,творчество конкурс ,VIII конкурсе технического творчества студентов «Компьютерное моделирование в жизнь»,1МАР 2023
38,РЦИО ,Представители РЦИО ЗабГУ организовали международную конференцию о доступности...,1МАР 2023
39,РЦИО ,"Инклюзивное волонтёрство: история, мифы, реальность",1МАР 2023
40,конкурс ,Тинькофф объявляет конкурс на стипендию в размере 25000 ежемесячно в течение года...,1МАР 2023
41,конкурс ,Конкурсный отбор на получение стипендий имени А.А. Вознесенского и А.И. Солженицына,1МАР 2023
42,образование ,Новая факультативная дисциплина «Основы технологического предпринимательства»,1МАР 2023
43,поздравляем ,Поздравление и.о.ректора с Днём образования Забайкальского края,1МАР 2023
44,студенты акция ,Студенты и преподаватели социологического  факультета приняли участие во...,28ФЕВ 2023
45,спорт РЦИО ,"Сотрудники РЦИО провели интегрированный турнир «Вместе интереснее», приуроченный к...",28ФЕВ 2023
46,спорт ,Наши студенты отправились покорять Эльбрус,26ФЕВ 2023
47,спорт ,В выходные прошла ежегодная «Арахлейская лыжня»,26ФЕВ 2023
48,образование сотрудничество интересное ,"Магистерские исследования в ЗабГУ по программе ""Наставничество""",26ФЕВ 2023
49,поздравляем ,С Днём защитника Отечества - поздравление и.о. ректора ЗабГУ Оксаны Мартыненко ,22ФЕВ 2023
50,интересное ,Андрей Макаров о Послании Президента,22ФЕВ 2023
51,сотрудничество объявление ,Программа подготовки управленческих кадров «Муравьев-Амурский 2030»,20ФЕВ 2023
52,сотрудничество абитуриенту ,На площадке ЗабГУ прошел финал Финатлона для старшеклассников,19ФЕВ 2023
53,объявление ,Выходные дни в честь Сагаалгана и Дня защитника Отечества,18ФЕВ 2023
54,сотрудничество ,Студенты ЮФ побывали в Избирательной комиссии Забайкальского края,15ФЕВ 2023
55,сотрудничество ,Диалог со специалистами в сфере воспитания,16ФЕВ 2023
56,сотрудничество олимпиада ,Финатлон для старшеклассников,16ФЕВ 2023
57,сотрудничество ,Как сегодня построить успешную карьеру: в Чите состоялся молодежный форум Общества...,16ФЕВ 2023
58,студенты ,Китайский Новый год в ЗабГУ,15ФЕВ 2023
59,сотрудничество ,Профориентационный маршрут в пгт. Оловянная,15ФЕВ 2023
60,сотрудничество ,Встреча студентов ИФФ с сотрудниками Управления Росгвардии по Забайкальскому краю,15ФЕВ 2023
61,,"Выставка на ИФФ ""Забайкалье моя история""",15ФЕВ 2023
62,,Торжественное открытие года 300-летия горного образования,14ФЕВ 2023
63,важное ,ЗабГУ первый в Движении первых,13ФЕВ 2023
64,сотрудничество ,Поздравляем наших партнёров из Быстринского ГОКа!,12ФЕВ 2023
65,студенты сотрудничество РЦИО ,«Ойкос» ЗабГУ окажет поддержку гражданам с ОВЗ по вопросам реализации избирательных...,9ФЕВ 2023
66,интересное абитуриенту ,Профориентационный тур ЗабГУ по муниципальным районам Забайкальского края продолжается,8ФЕВ 2023
67,образование сотрудничество важное ,На базе ЗабГУ подпишут соглашение о консорциуме «Горная академия - Дальний Восток»,8ФЕВ 2023
68,наука поздравляем ,8 февраля - День российской науки,8ФЕВ 2023
69,студенты сотрудничество интересное ,Студенты ЗабГУ рассказали школьникам о символе Забайкальского края,7ФЕВ 2023
70,наука анонс интересное ,В ЗабГУ отпразднуют День российской науки,6ФЕВ 2023
71,студенты объявление ,Студентам выпускных курсов педагогических специальностей!,3ФЕВ 2023
72,творчество важное акция ,День защитника Отечества обретает новые смыслы,3ФЕВ 2023
73,студенты поздравляем конкурс ,Студенты Гуманитарно-технического колледжа ЗабГУ рассказали о Забайкалье на...,3ФЕВ 2023
74,объявление абитуриенту ,Открыт дополнительный набор на платное обучение,2ФЕВ 2023
75,наука сотрудничество важное ,Представители ЗабГУ приняли участие в стратегической сессии по разработке концепции...,2ФЕВ 2023
76,студенты абитуриенту акция ,Акция «Поступай в ЗабГУ» продолжается,2ФЕВ 2023
77,спорт анонс РЦИО ,Стартует Чемпионат Забайкальского края по настольной игре «Джакколо»,2ФЕВ 2023
78,важное ,Программа мероприятий ЗабГУ к 80-летию победы в Сталинградской битве,2ФЕВ 2023
79,объявление акция ,Стартует Всероссийский диктант по истории Сталинградской битвы,2ФЕВ 2023
80,образование сотрудничество интересное ,Студентов ЗабГУ познакомят с современными тенденциями в работе HR-менеджера,31ЯНВ 2023
81,образование сотрудничество интересное ,Лицеисты ЗабГУ расширяют правовые знания,31ЯНВ 2023
82,наука сотрудничество ,ЗабГУ способствует внедрению технологий в строительстве в Забайкальском крае,30ЯНВ 2023
83,студенты сотрудничество интересное ,Лекцию о Жуковском провели студенты ЗабГУ,30ЯНВ 2023
84,студенты важное ,Академическая задолженность и её ликвидация  (памятка для первокурсников),30ЯНВ 2023
85,образование важное ,Забайкальский госуниверситет – вуз смешанного формата,30ЯНВ 2023
86,сотрудничество ,В ЗабГУ прошла встреча с руководителем «Союза народов Таджикистана»,27ЯНВ 2023
87,конференции анонс РЦИО ,В ЗабГУ обсудят доступность высшего образования для лиц с ограниченными...,27ЯНВ 2023
88,студенты поздравляем ,Студенты ЗабГУ выиграли супер-приз от Филармонии,27ЯНВ 2023
89,студенты образование ,В ЗабГУ открыт Центр оценки компетенций,27ЯНВ 2023
90,студенты конкурс объявление ,Стартовал приём заявок на конкурс Росмолодёжь.Гранты,27ЯНВ 2023
91,спорт поздравляем ,Баскетбольные победы ЗабГУ,26ЯНВ 2023
92,студенты интересное ,Научная библиотека ЗабГУ подготовила дайджест ко Дню российского студенчества,24ЯНВ 2023
93,студенты спорт поздравляем ,Спортсмены-лучники завоевали призовые места на Чемпионате России,24ЯНВ 2023
94,объявление акция ,Студенческая акция «Поступай в ЗабГУ»,23ЯНВ 2023
95,интересное абитуриенту ,Будущее с ЗабГУ,23ЯНВ 2023
96,студенты поздравляем олимпиада ,Студенты ЗабГУ – финалисты Дальневосточной правовой олимпиады,20ЯНВ 2023
97,наука интересное ,Аспирантура открывает новые возможности,20ЯНВ 2023
98,важное ,Кракен: что нужно знать о новом штамме коронавируса,20ЯНВ 2023
99,образование сотрудничество ,В ЗабГУ обсудили перспективы сотрудничества со строительной отраслью региона,19ЯНВ 2023
100,наука образование ,Развитие инженерного образования в Забайкальском крае обсудят в ЗабГУ,18ЯНВ 2023
101,сотрудничество ,ЗабГУ укрепляет сотрудничество с краевым избиркомом,18ЯНВ 2023
102,объявление абитуриенту ,ЗабГУ проведёт Дни открытых дверей для учеников 10-11 классов,17ЯНВ 2023
103,образование конкурс ,ЗабГУ занял 1 место в реализации проекта «Школьные сообщества»,16ЯНВ 2023
104,сотрудничество интересное ,Преподавателям ЗабГУ объявлены благодарности за организацию кадрового проекта...,13ЯНВ 2023
105,сотрудничество ,В Забайкалье проходит очередной этап «Забпризыва»,13ЯНВ 2023
106,наука сотрудничество интересное ,Наталья Викулова: «В научном взаимодействии рождаются идеи новых проектов»,13ЯНВ 2023
107,поздравляем ,С Днём российской печати! ,13ЯНВ 2023
108,наука сотрудничество ,Уникальные экспонаты археологического музея ЗабГУ стали предметом исследования...,11ЯНВ 2023
109,студенты объявление ,Альфа-шанс должен быть у каждого!,11ЯНВ 2023
110,образование важное МинобрРФ ,ЗабГУ вновь получил статус Федеральной инновационной площадки,10ЯНВ 2023
111,студенты интересное ,Кира Альтман пообщалась со студентами Забайкальского государственного университета,10ЯНВ 2023
112,сотрудничество важное ,В Чите обсудили проект стратегии социально-экономического  развития края,30ДЕК 2022
113,спорт интересное РЦИО ,Новогодняя матрёшка в Чите,30ДЕК 2022
114,студенты наука СНО ,Подведены итоги проекта «Код науки: Дальний Восток»,30ДЕК 2022
115,интересное абитуриенту ,Забайкальский госуниверситет подводит итоги Декады профориентации ,30ДЕК 2022
116,поздравляем ,Поздравление руководителя ЗабГУ с Новым годом,30ДЕК 2022
117,наука интересное ,ЗабГУ подводит научные итоги 2022 года ,30ДЕК 2022
118,спорт РЦИО ,Кубок Забайкальского края по игре Матрёшка провёл РЦИО ЗабГУ,29ДЕК 2022
119,поздравляем ,Преподаватель Забайкальского госуниверситета - лауреат премии «Неравнодушный...,29ДЕК 2022
120,поздравляем творчество конкурс ,В ЗабГУ выбрали лучшую Рождественскую открытку,29ДЕК 2022
121,поздравляем РЦИО ,Представитель ЗабГУ получил премию «Родительское спасибо»,29ДЕК 2022
122,наука сотрудничество ,ЗабГУ содействует достижению технологического суверенитета в радиоэлектронике,29ДЕК 2022
123,спорт поздравляем ,Поздравляем спортсменов ЗабГУ - звёзд Забайкальского спорта!,29ДЕК 2022
124,студенты важное мобилизация ,Штаб #МЫВМЕСТЕ: итоги года,29ДЕК 2022
125,наука конкурс РЦИО ,Представители ЗабГУ стали соавторами коллективной монографии о влиянии окружающей...,29ДЕК 2022
126,студенты олимпиада ,В Забайкальском госуниверситете подвели итоги олимпиады по математике,28ДЕК 2022
127,сотрудничество конференции ,Проблемы преподавания и изучения русского языка обсудили в ЗабГУ,28ДЕК 2022
128,сотрудничество ,Руководство ЗабГУ и представители министерств обсудили участие университета в...,27ДЕК 2022
129,наука важное ,О научных достижениях учёного-историка Игоря Кириллова говорили в ЗабГУ ,27ДЕК 2022
130,студенты образование ,Студенты ЗабГУ подключаются к «Платформе строительных сервисов»,27ДЕК 2022
131,важное ,«Ёлка желаний»: Забайкальский госуниверситет исполняет новогодние мечты детей,27ДЕК 2022
132,поздравляем ,Поздравления с наступающим Новым годом от руководителей факультетов ЗабГУ,26ДЕК 2022
133,творчество конкурс интересное ,В Забайкальском госуниверситете подвели итоги конкурса рисунков для школьников,26ДЕК 2022
134,образование сотрудничество ,В Забайкальском госуниверситете обсудили вопросы трансформации строительного...,23ДЕК 2022
135,наука конференции ,Краеведческие чтения для школьников провели в ЗабГУ,23ДЕК 2022
136,студенты наука конференции ,Студенты ЗабГУ поделились опытом по благоустройству дворовых территорий ,22ДЕК 2022
137,образование интересное ,Многопрофильный лицей ЗабГУ – центр привлечения талантливых школьников ,22ДЕК 2022
138,спорт РЦИО ,Соревнования по теннису для слепых организовал РЦИО ЗабГУ,22ДЕК 2022
139,творчество конкурс ,В Забайкальском госуниверситете проходит музыкальный фестиваль ансамблей,22ДЕК 2022
140,студенты РЦИО акция ,Студенты Забайкальского госуниверситета провели акцию ко дню инвалидов,21ДЕК 2022
141,поздравляем конкурс РЦИО ,Подведены итоги конкурса «Мир один для всех»,21ДЕК 2022
142,студенты поздравляем ,Студенческую супружескую пару из ЗабГУ наградили по итогам конкурса «Семья года - 2022»,21ДЕК 2022
143,студенты поздравляем РЦИО ,«Ойкос» – призёр «Хрустального сердца Забайкалья» ,21ДЕК 2022
144,важное ,Профилактика роста заболеваемости в Забайкальском государственном университете,20ДЕК 2022
145,спорт интересное ,Детский фестиваль по тэг-регби прошёл в Забайкальском государственном университете ,20ДЕК 2022
146,образование сотрудничество ,Помощник президента посетил горный факультет ЗабГУ,19ДЕК 2022
147,студенты творчество интересное ,Делегация ЗабГУ посетила форум дизайнеров и архитекторов России DESIGN DAYS,19ДЕК 2022
148,сотрудничество объявление ,В Забайкалье пройдёт очередной этап «Забпризыва»,19ДЕК 2022
149,студенты наука поздравляем ,Объявлены финалисты регионального конкурса на звание лучшего молодого учёного...,19ДЕК 2022
150,наука конференции интересное ,«Важно работать без конфликтов»: в ЗабГУ обсудили пути взаимодействия СМИ с аудиторией,19ДЕК 2022
151,студенты поздравляем ,Студентка ЗабГУ победила в конкурсе руководителей объединений «Без предела»,19ДЕК 2022
152,образование сотрудничество ,Проректор ЗабГУ принял участие в обсуждении обновлённых принципов развития...,19ДЕК 2022
153,наука объявление интересное ,Искусству создания научной статьи научат на мастер-классе в ЗабГУ,16ДЕК 2022
154,интересное РЦИО ,Представители ЗабГУ стали гостями программы «Утро России»,16ДЕК 2022
155,студенты поздравляем ,Иностранный магистрант Забайкальского госуниверситета занял призовое место в...,16ДЕК 2022
156,наука конференции ,Учёные из России и зарубежья в ЗабГУ обсуждают роль православия в жизни общества,16ДЕК 2022
157,творчество интересное ,Варварин день отметит горный факультет ЗабГУ,16ДЕК 2022
158,студенты наука СНО ,ЗабГУ развивает академическую мобильность студентов,15ДЕК 2022
159,студенты поздравляем ,Студент ЗабГУ победил на конференции молодых исследователей,15ДЕК 2022
160,наука интересное ,Учёные ЗабГУ предложили использовать симуляционные тренажёры для профилактики...,14ДЕК 2022
161,наука конференции ,Грани взаимодействия православия и общества рассмотрят на конференции в ЗабГУ,14ДЕК 2022
162,сотрудничество ,В ЗабГУ прошла встреча недропользователей Забайкалья,9ДЕК 2022
163,наука сотрудничество СНО ,Молодые учёные ЗабГУ укрепляют международное сотрудничество,9ДЕК 2022
164,конкурс объявление ,Студенты ЗабГУ приглашаются к участию в конкурсе на лучшую Рождественскую открытку,8ДЕК 2022
165,сотрудничество важное ,В ЗабГУ обсудили возможности развития сотрудничества с КНР и усиления академической...,8ДЕК 2022
166,студенты творчество конкурс ,В ЗабГУ стартовал конкурс педагогического мастерства,6ДЕК 2022
167,интересное абитуриенту ,«Дни ЗабГУ» организуют для абитуриентов факультеты вуза,6ДЕК 2022
168,наука сотрудничество РЦИО ,Пособие по церебральному параличу презентовали в ЗабГУ,6ДЕК 2022
169,образование конференции ,Проект Горной академии ЗабГУ представлен на форуме «ГОРПРОМЭКСПО-2022» в Москве,6ДЕК 2022
170,спорт ,ЗабГУ спортивный,5ДЕК 2022
171,наука МинобрРФ СНО ,Итоги реализации проекта «Код науки: Дальний Восток» представило НАСО ЗабГУ на...,5ДЕК 2022
172,объявление акция ,ЗабГУ приглашает читинцев написать Казачий диктант,5ДЕК 2022
173,образование поздравляем ,В ЗабГУ отпраздновали юбилей языкового образования высшей школы региона,5ДЕК 2022
174,поздравляем ,65-летие празднует заведующая кафедрой физики Светлана Десненко,2ДЕК 2022
175,студенты интересное ,Студенты ЗабГУ приняли участие в мероприятиях форума «Петровские времена»,2ДЕК 2022
176,поздравляем интересное ,Факультет строительства и экологии ЗабГУ отпраздновал полувековой юбилей,2ДЕК 2022
177,образование интересное ,Дайджест литературы для подготовки студентов к конкурсам и олимпиадам выпустила...,2ДЕК 2022
178,конференции важное ,Кафедра истории ЗабГУ презентовала реализуемую инициативу «Забайкальцы в проекте...,2ДЕК 2022
179,наука конференции ,ЗабГУ на Конгрессе молодых учёных поделился опытом развития гражданской науки,2ДЕК 2022
180,образование анонс ,Лекции о ценностных ориентирах России проводят учёные ЗабГУ для забайкальцев,1ДЕК 2022
181,поздравляем анонс ,Языковое образование Забайкалья отметит 70-летний юбилей,1ДЕК 2022
182,анонс РЦИО акция ,Студентов и преподавателей ЗабГУ приглашают проверить свои знания в сфере...,30НОЯ 2022
183,поздравляем ,Факультету строительства и экологии ЗабГУ – 50!,30НОЯ 2022
184,наука сотрудничество конференции ,Профессор ЗабГУ выступила на конференции в МГИМО,29НОЯ 2022
185,наука образование конференции ,О тенденциях развития дошкольного образования говорили на конференции в ЗабГУ,29НОЯ 2022
186,наука конференции ,В ЗабГУ начала работу конференция «Кулагинские чтения»,29НОЯ 2022
187,поздравляем анонс ,Факультет строительства и экологии ЗабГУ отметит полувековой юбилей,28НОЯ 2022
188,студенты поздравляем олимпиада ,Студенты ЗабГУ стали призёрами всероссийской олимпиады по психологии образования,28НОЯ 2022
189,студенты объявление ,Набор на новый учебный год проводит ВУЦ ЗабГУ,28НОЯ 2022
190,образование интересное ,Стартовал цикл публичных лекций преподавателей ЗабГУ о ценностных ориентирах...,25НОЯ 2022
191,конференции интересное ,Повышение финансовой грамотности: курс на синергию,25НОЯ 2022
192,студенты конкурс ,Студенты ЗабГУ вышли в полуфинал чемпионата мира по программированию,24НОЯ 2022
193,студенты интересное ,Студенты Читы сыграют во «Что? Где? Когда?» ,24НОЯ 2022
194,студенты поздравляем конкурс ,Иностранные студенты ЗабГУ вышли во второй тур конкурса по русскому языку,24НОЯ 2022
195,студенты ,Ни дня без доброго дела: в ЗабГУ завершилась Школа волонтёра,24НОЯ 2022
196,студенты образование ,В ЗабГУ стартовала школа клиницистов для студентов,23НОЯ 2022
197,студенты образование интересное ,Команда студсовета общежитий ЗабГУ прошла обучение на форуме в Москве,23НОЯ 2022
198,студенты поздравляем конкурс ,Студентка ЗабГУ разработала экскурсию по объектам деревянного зодчества Читы,23НОЯ 2022
199,олимпиада объявление ,Забайкальские школьники могут проверить свои знания по иностранным языкам,23НОЯ 2022
200,наука сотрудничество интересное ,Диалог с молодыми учёными: губернатор Забайкальского края провёл лекцию в ЗабГУ,22НОЯ 2022
201,спорт интересное РЦИО ,Молодёжный турнир по бочче объединил более 20 команд из Читы,22НОЯ 2022
202,образование объявление ,В ЗабГУ стартует цикл публичных лекции от преподавателей вуза ,22НОЯ 2022
203,студенты поздравляем ,Студенты ЗабГУ стали призёрами всероссийской олимпиады по проектированию карьеров,22НОЯ 2022
204,поздравляем ,С Днём психолога!,22НОЯ 2022
205,наука конференции анонс ,Учёные ЗабГУ примут участие в международной конференции по вопросам здоровья,21НОЯ 2022
206,сотрудничество важное ,ЗабГУ присоединился к Ассоциации «зелёных» вузов России,21НОЯ 2022
207,студенты спорт ,Волейболисты из трёх регионов сразились за победу в турнире памяти Тамаровского,21НОЯ 2022
208,студенты интересное ,Полмиллиона на реализацию идеи: студент ЗабГУ выиграл грант на развитие туризма в...,21НОЯ 2022
209,сотрудничество важное ,Заседание Забайкальского отделения РПС прошло в ЗабГУ накануне Дня преподавателя...,21НОЯ 2022
210,поздравляем ,С Днём преподавателя высшей школы!,19НОЯ 2022
211,поздравляем ,65 лет исполняется кандидату педагогических наук Михаилу Десненко,18НОЯ 2022
212,спорт РЦИО ,Турнир по бочче «Мячи успеха» пройдёт в ЗабГУ,18НОЯ 2022
213,наука образование ,Научно-практический журнал «Теневая экономика» включён в Перечень ВАК по новой...,18НОЯ 2022
